Plant_ID,Scientific_Name,Common_Names,Genus,Family,Plant_Type,Native_Region
1245,Eucalyptus websteriana,"Webster's mallee, heart-leaf mallee, dainty mallee
Eucalyptus websteriana subsp. norsemanica L.A.S.Johnson & K.D.Hill
Eucalyptus websteriana Maiden subsp. websteriana",Eucalyptus,Myrtaceae,Tree,"Webster's mallee, heart-leaf mallee, dainty mallee
Eucalyptus websteriana subsp. norsemanica L.A.S.Johnson & K.D.Hill
Eucalyptus websteriana Maiden subsp. websteriana"
1246,Eucalyptus wetarensis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1247,Eucalyptus whitei,White's ironbark,Eucalyptus,Myrtaceae,Tree,White's ironbark
1248,Eucalyptus wilcoxii,Deua gum,Eucalyptus,Myrtaceae,Tree,Deua gum
1249,Eucalyptus williamsiana,large-leaved stringybark,Eucalyptus,Myrtaceae,Tree,large-leaved stringybark
1250,Eucalyptus willisii,"shining peppermint, promontory peppermint",Eucalyptus,Myrtaceae,Tree,"shining peppermint, promontory peppermint"
1251,Eucalyptus wimmerensis,"Wimmera mallee box, broad-leaved green mallee",Eucalyptus,Myrtaceae,Tree,"Wimmera mallee box, broad-leaved green mallee"
1252,Eucalyptus woodwardii,"lemon-flowered gum, Woodward's blackbutt",Eucalyptus,Myrtaceae,Tree,"lemon-flowered gum, Woodward's blackbutt"
1253,Eucalyptus woollsiana,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1254,Eucalyptus wubinensis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1255,Eucalyptus wyolensis,Wyola mallee,Eucalyptus,Myrtaceae,Tree,Wyola mallee
1256,Eucalyptus xanthonema,"yellow-flowered mallee
Eucalyptus xanthonema subsp. apposita Brooker & Hopper
Eucalyptus xanthonema Turcz. subsp. xanthonema",Eucalyptus,Myrtaceae,Tree,"yellow-flowered mallee
Eucalyptus xanthonema subsp. apposita Brooker & Hopper
Eucalyptus xanthonema Turcz. subsp. xanthonema"
1257,Eucalyptus xerothermica,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1258,Eucalyptus yalatensis,Yalata mallee,Eucalyptus,Myrtaceae,Tree,Yalata mallee
1259,Eucalyptus yarraensis,Yarra gum,Eucalyptus,Myrtaceae,Tree,Yarra gum
1260,Eucalyptus yarriambiack,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1261,Eucalyptus yilgarnensis,"yorrell, yorrel",Eucalyptus,Myrtaceae,Tree,"yorrell, yorrel"
1262,Eucalyptus youmanii,"Youman's stringybark
Eucalyptus youmanii var. sphaerocarpa Blakely & McKie",Eucalyptus,Myrtaceae,Tree,"Youman's stringybark
Eucalyptus youmanii var. sphaerocarpa Blakely & McKie"
1263,Eucalyptus youngiana,"large-fruited mallee, Ooldea mallee, yarldarlba",Eucalyptus,Myrtaceae,Tree,"large-fruited mallee, Ooldea mallee, yarldarlba"
1264,Eucalyptus yumbarrana,Yumbarra mallee,Eucalyptus,Myrtaceae,Tree,Yumbarra mallee
1265,Eucalyptus zopherophloia,blackbutt mallee,Eucalyptus,Myrtaceae,Tree,blackbutt mallee
1266,Eucalyptus,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1267,"Eucalyptus, An illustrated guide to identification",N/A,Eucalyptus,Myrtaceae,Tree,N/A
